"Sygdom";"Regionskode";"Region";"Aldersgruppe";"Køn";"Antal borgere";"Antal testede personer";"Antal Bekræftede tilfælde";"Antal nye indlæggelser";"Antal døde";"Positivprocent";"Bekræftede tilfælde pr. 100.000 borgere";"Testede personer pr. 100.000 borgere";"Nye indlæggelser pr. 100.000 borgere";"timestamp_2025-09-02T11:25:03.875"
INFLA;1082;Midtjylland;Alle;Alle;1373525;131;8;1;1;0,06;0,58;9,54;0,07;
INFLA;1082;Midtjylland;Alle;K;688619;58;3;0;0;0,05;0,44;8,42;0,00;
INFLA;1082;Midtjylland;Alle;M;684906;73;5;1;1;0,07;0,73;10,66;0,15;
INFLA;1081;Nordjylland;00-01;Alle;10490;6;0;0;0;0,00;0,00;57,20;0,00;
INFLA;1081;Nordjylland;00-01;K;5039;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;1081;Nordjylland;00-01;M;5451;6;0;0;0;0,00;0,00;110,07;0,00;
INFLA;1081;Nordjylland;02-06;Alle;29515;2;0;0;0;0,00;0,00;6,78;0,00;
INFLA;1081;Nordjylland;02-06;K;14264;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;1081;Nordjylland;02-06;M;15251;2;0;0;0;0,00;0,00;13,11;0,00;
INFLA;1081;Nordjylland;07-14;Alle;48166;1;0;0;0;0,00;0,00;2,08;0,00;
INFLA;1081;Nordjylland;07-14;K;23454;1;0;0;0;0,00;0,00;4,26;0,00;
INFLA;1081;Nordjylland;07-14;M;24712;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;1081;Nordjylland;15-44;Alle;211858;20;0;0;0;0,00;0,00;9,44;0,00;
INFLA;1081;Nordjylland;15-44;K;101368;9;0;0;0;0,00;0,00;8,88;0,00;
INFLA;1081;Nordjylland;15-44;M;110490;11;0;0;0;0,00;0,00;9,96;0,00;
INFLA;1081;Nordjylland;45-64;Alle;152616;28;1;0;0;0,04;0,66;18,35;0,00;
INFLA;1081;Nordjylland;45-64;K;75893;15;0;0;0;0,00;0,00;19,76;0,00;
INFLA;1081;Nordjylland;45-64;M;76723;13;1;0;0;0,08;1,30;16,94;0,00;
INFLA;1081;Nordjylland;65-74;Alle;69438;33;2;1;0;0,06;2,88;47,52;1,44;
INFLA;1081;Nordjylland;65-74;K;35426;15;1;0;0;0,07;2,82;42,34;0,00;
INFLA;1081;Nordjylland;65-74;M;34012;18;1;1;0;0,06;2,94;52,92;2,94;
INFLA;1081;Nordjylland;75-84;Alle;53181;50;1;1;0;0,02;1,88;94,02;1,88;
