"Sygdom";"Sæson";"Uge";"Regionskode";"Region";"Aldersgruppe";"Køn";"Antal borgere";"Antal tests";"Antal Bekræftede tilfælde";"Antal nye indlæggelser";"Antal døde";"Positivprocent";"Bekræftede tilfælde pr. 100.000 borgere";"Antal tests pr. 100.000 borgere";"Nye indlæggelser pr. 100.000 borgere";"timestamp_2026-07-07T11:15:03.729"
INFLA;2015/2016;2015-U40;1081;Nordjylland;85+;Alle;13557;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1081;Nordjylland;85+;K;8790;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1081;Nordjylland;85+;M;4767;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1081;Nordjylland;Alle;Alle;586197;5;0;0;0;0,00;0,00;0,85;0,00;
INFLA;2015/2016;2015-U40;1081;Nordjylland;Alle;K;290794;4;0;0;0;0,00;0,00;1,38;0,00;
INFLA;2015/2016;2015-U40;1081;Nordjylland;Alle;M;295403;1;0;0;0;0,00;0,00;0,34;0,00;
INFLA;2015/2016;2015-U40;1085;Sjælland;00-01;Alle;13835;2;0;0;0;0,00;0,00;14,46;0,00;
INFLA;2015/2016;2015-U40;1085;Sjælland;00-01;K;6710;1;0;0;0;0,00;0,00;14,90;0,00;
INFLA;2015/2016;2015-U40;1085;Sjælland;00-01;M;7125;1;0;0;0;0,00;0,00;14,04;0,00;
INFLA;2015/2016;2015-U40;1085;Sjælland;02-06;Alle;41789;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1085;Sjælland;02-06;K;20383;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1085;Sjælland;02-06;M;21406;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1085;Sjælland;07-14;Alle;80948;1;0;0;0;0,00;0,00;1,24;0,00;
INFLA;2015/2016;2015-U40;1085;Sjælland;07-14;K;39297;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1085;Sjælland;07-14;M;41651;1;0;0;0;0,00;0,00;2,40;0,00;
INFLA;2015/2016;2015-U40;1085;Sjælland;15-44;Alle;275891;3;0;0;0;0,00;0,00;1,09;0,00;
INFLA;2015/2016;2015-U40;1085;Sjælland;15-44;K;135340;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1085;Sjælland;15-44;M;140551;3;0;0;0;0,00;0,00;2,13;0,00;
INFLA;2015/2016;2015-U40;1085;Sjælland;45-64;Alle;238629;2;0;0;0;0,00;0,00;0,84;0,00;
INFLA;2015/2016;2015-U40;1085;Sjælland;45-64;K;119608;1;0;0;0;0,00;0,00;0,84;0,00;
INFLA;2015/2016;2015-U40;1085;Sjælland;45-64;M;119021;1;0;0;0;0,00;0,00;0,84;0,00;
INFLA;2015/2016;2015-U40;1085;Sjælland;65-74;Alle;108573;3;0;0;0;0,00;0,00;2,76;0,00;
INFLA;2015/2016;2015-U40;1085;Sjælland;65-74;K;55689;2;0;0;0;0,00;0,00;3,59;0,00;
INFLA;2015/2016;2015-U40;1085;Sjælland;65-74;M;52884;1;0;0;0;0,00;0,00;1,89;0,00;
INFLA;2015/2016;2015-U40;1085;Sjælland;75-84;Alle;51072;1;0;0;0;0,00;0,00;1,96;0,00;
INFLA;2015/2016;2015-U40;1085;Sjælland;75-84;K;27895;1;0;0;0;0,00;0,00;3,58;0,00;
INFLA;2015/2016;2015-U40;1085;Sjælland;75-84;M;23177;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1085;Sjælland;85+;Alle;17480;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1085;Sjælland;85+;K;11534;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1085;Sjælland;85+;M;5946;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1085;Sjælland;Alle;Alle;828217;12;0;0;0;0,00;0,00;1,45;0,00;
INFLA;2015/2016;2015-U40;1085;Sjælland;Alle;K;416456;5;0;0;0;0,00;0,00;1,20;0,00;
INFLA;2015/2016;2015-U40;1085;Sjælland;Alle;M;411761;7;0;0;0;0,00;0,00;1,70;0,00;
INFLA;2015/2016;2015-U40;1083;Syddanmark;00-01;Alle;22741;7;0;0;0;0,00;0,00;30,78;0,00;
INFLA;2015/2016;2015-U40;1083;Syddanmark;00-01;K;11033;4;0;0;0;0,00;0,00;36,25;0,00;
INFLA;2015/2016;2015-U40;1083;Syddanmark;00-01;M;11708;3;0;0;0;0,00;0,00;25,62;0,00;
INFLA;2015/2016;2015-U40;1083;Syddanmark;02-06;Alle;65391;1;0;0;0;0,00;0,00;1,53;0,00;
INFLA;2015/2016;2015-U40;1083;Syddanmark;02-06;K;31753;1;0;0;0;0,00;0,00;3,15;0,00;
INFLA;2015/2016;2015-U40;1083;Syddanmark;02-06;M;33638;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1083;Syddanmark;07-14;Alle;115974;3;0;0;0;0,00;0,00;2,59;0,00;
INFLA;2015/2016;2015-U40;1083;Syddanmark;07-14;K;56843;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1083;Syddanmark;07-14;M;59131;3;0;0;0;0,00;0,00;5,07;0,00;
INFLA;2015/2016;2015-U40;1083;Syddanmark;15-44;Alle;432141;21;0;0;0;0,00;0,00;4,86;0,00;
INFLA;2015/2016;2015-U40;1083;Syddanmark;15-44;K;210930;12;0;0;0;0,00;0,00;5,69;0,00;
INFLA;2015/2016;2015-U40;1083;Syddanmark;15-44;M;221211;9;0;0;0;0,00;0,00;4,07;0,00;
INFLA;2015/2016;2015-U40;1083;Syddanmark;45-64;Alle;333693;12;1;0;0;0,08;0,30;3,60;0,00;
INFLA;2015/2016;2015-U40;1083;Syddanmark;45-64;K;165868;3;1;0;0;0,33;0,60;1,81;0,00;
INFLA;2015/2016;2015-U40;1083;Syddanmark;45-64;M;167825;9;0;0;0;0,00;0,00;5,36;0,00;
INFLA;2015/2016;2015-U40;1083;Syddanmark;65-74;Alle;142641;11;0;0;0;0,00;0,00;7,71;0,00;
INFLA;2015/2016;2015-U40;1083;Syddanmark;65-74;K;72685;7;0;0;0;0,00;0,00;9,63;0,00;
INFLA;2015/2016;2015-U40;1083;Syddanmark;65-74;M;69956;4;0;0;0;0,00;0,00;5,72;0,00;
INFLA;2015/2016;2015-U40;1083;Syddanmark;75-84;Alle;74555;6;0;0;0;0,00;0,00;8,05;0,00;
INFLA;2015/2016;2015-U40;1083;Syddanmark;75-84;K;40833;4;0;0;0;0,00;0,00;9,80;0,00;
INFLA;2015/2016;2015-U40;1083;Syddanmark;75-84;M;33722;2;0;0;0;0,00;0,00;5,93;0,00;
INFLA;2015/2016;2015-U40;1083;Syddanmark;85+;Alle;27399;2;0;0;0;0,00;0,00;7,30;0,00;
INFLA;2015/2016;2015-U40;1083;Syddanmark;85+;K;18083;2;0;0;0;0,00;0,00;11,06;0,00;
INFLA;2015/2016;2015-U40;1083;Syddanmark;85+;M;9316;0;0;0;0;0,00;0,00;0,00;0,00;
INFLA;2015/2016;2015-U40;1083;Syddanmark;Alle;Alle;1214535;63;1;0;0;0,02;0,08;5,19;0,00;
INFLA;2015/2016;2015-U40;1083;Syddanmark;Alle;K;608028;33;1;0;0;0,03;0,16;5,43;0,00;
INFLA;2015/2016;2015-U40;1083;Syddanmark;Alle;M;606507;30;0;0;0;0,00;0,00;4,95;0,00;
INFLA;2015/2016;2015-U41;9999;Alle;00-01;Alle;114835;30;0;0;0;0,00;0,00;26,12;0,00;
INFLA;2015/2016;2015-U41;9999;Alle;00-01;K;55863;16;0;0;0;0,00;0,00;28,64;0,00;
INFLA;2015/2016;2015-U41;9999;Alle;00-01;M;58972;13;0;0;0;0,00;0,00;22,04;0,00;
INFLA;2015/2016;2015-U41;9999;Alle;02-06;Alle;313315;11;0;0;0;0,00;0,00;3,51;0,00;
INFLA;2015/2016;2015-U41;9999;Alle;02-06;K;152616;4;0;0;0;0,00;0,00;2,62;0,00;
INFLA;2015/2016;2015-U41;9999;Alle;02-06;M;160699;7;0;0;0;0,00;0,00;4,36;0,00;
INFLA;2015/2016;2015-U41;9999;Alle;07-14;Alle;536701;11;0;0;0;0,00;0,00;2,05;0,00;
INFLA;2015/2016;2015-U41;9999;Alle;07-14;K;261670;7;0;0;0;0,00;0,00;2,68;0,00;
INFLA;2015/2016;2015-U41;9999;Alle;07-14;M;275031;4;0;0;0;0,00;0,00;1,45;0,00;
INFLA;2015/2016;2015-U41;9999;Alle;15-44;Alle;2159546;51;0;0;0;0,00;0,00;2,36;0,00;
INFLA;2015/2016;2015-U41;9999;Alle;15-44;K;1065991;32;0;0;0;0,00;0,00;3,00;0,00;
INFLA;2015/2016;2015-U41;9999;Alle;15-44;M;1093555;17;0;0;0;0,00;0,00;1,55;0,00;
INFLA;2015/2016;2015-U41;9999;Alle;45-64;Alle;1508952;62;1;0;0;0,02;0,07;4,11;0,00;
INFLA;2015/2016;2015-U41;9999;Alle;45-64;K;753592;36;1;0;0;0,03;0,13;4,78;0,00;
INFLA;2015/2016;2015-U41;9999;Alle;45-64;M;755360;26;0;0;0;0,00;0,00;3,44;0,00;
INFLA;2015/2016;2015-U41;9999;Alle;65-74;Alle;636921;36;0;0;0;0,00;0,00;5,65;0,00;
