"Sygdom";"Sæson";"Uge";"Regionskode";"Region";"Aldersgruppe";"Køn";"Antal borgere";"Antal testede personer";"Antal Bekræftede tilfælde";"Antal nye indlæggelser";"Antal døde";"Positivprocent";"Bekræftede tilfælde pr. 100.000 borgere";"Testede personer pr. 100.000 borgere";"Nye indlæggelser pr. 100.000 borgere";"timestamp_2025-06-24T11:25:02.299"
RSV;2015/2016;2015-U40;1084;Hovedstaden;08. 45-64 år;K;211138;8;0;0;0;0,00;0,00;3,79;0,00;
RSV;2015/2016;2015-U40;1084;Hovedstaden;08. 45-64 år;M;203578;7;1;1;0;0,14;0,49;3,44;0,49;
RSV;2015/2016;2015-U40;1084;Hovedstaden;09. 65-74 år;Alle;149376;6;0;0;0;0,00;0,00;4,02;0,00;
RSV;2015/2016;2015-U40;1084;Hovedstaden;09. 65-74 år;K;82068;3;0;0;0;0,00;0,00;3,66;0,00;
RSV;2015/2016;2015-U40;1084;Hovedstaden;09. 65-74 år;M;67308;3;0;0;0;0,00;0,00;4,46;0,00;
RSV;2015/2016;2015-U40;1084;Hovedstaden;10. 75-84 år;Alle;55525;7;0;0;0;0,00;0,00;12,61;0,00;
RSV;2015/2016;2015-U40;1084;Hovedstaden;10. 75-84 år;K;34030;1;0;0;0;0,00;0,00;2,94;0,00;
RSV;2015/2016;2015-U40;1084;Hovedstaden;10. 75-84 år;M;21495;6;0;0;0;0,00;0,00;27,91;0,00;
RSV;2015/2016;2015-U40;1084;Hovedstaden;11. 85+ år;Alle;8385;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1084;Hovedstaden;11. 85+ år;K;6308;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1084;Hovedstaden;11. 85+ år;M;2077;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1084;Hovedstaden;Alle;Alle;1730713;69;2;2;0;0,03;0,12;3,99;0,12;
RSV;2015/2016;2015-U40;1084;Hovedstaden;Alle;K;885636;30;1;1;0;0,03;0,11;3,39;0,11;
RSV;2015/2016;2015-U40;1084;Hovedstaden;Alle;M;845077;39;1;1;0;0,03;0,12;4,61;0,12;
RSV;2015/2016;2015-U40;1082;Midtjylland;01. 0-5 måneder;Alle;7273;7;0;0;0;0,00;0,00;96,25;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;01. 0-5 måneder;K;3533;3;0;0;0;0,00;0,00;84,91;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;01. 0-5 måneder;M;3740;4;0;0;0;0,00;0,00;106,95;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;02. 6-11 måneder;Alle;6772;2;0;0;0;0,00;0,00;29,53;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;02. 6-11 måneder;K;3296;1;0;0;0;0,00;0,00;30,34;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;02. 6-11 måneder;M;3476;1;0;0;0;0,00;0,00;28,77;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;03. 1 år;Alle;13824;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;03. 1 år;K;6799;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;03. 1 år;M;7025;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;04. 2 år;Alle;14038;2;0;0;0;0,00;0,00;14,25;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;04. 2 år;K;6856;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;04. 2 år;M;7182;2;0;0;0;0,00;0,00;27,85;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;05. 3-5 år;Alle;45329;2;0;0;0;0,00;0,00;4,41;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;05. 3-5 år;K;22116;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;05. 3-5 år;M;23213;2;0;0;0;0,00;0,00;8,62;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;06. 6-14 år;Alle;149435;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;06. 6-14 år;K;73379;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;06. 6-14 år;M;76056;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;07. 15-44 år;Alle;515135;2;0;0;0;0,00;0,00;0,39;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;07. 15-44 år;K;253932;2;0;0;0;0,00;0,00;0,79;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;07. 15-44 år;M;261203;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;08. 45-64 år;Alle;326519;4;0;0;0;0,00;0,00;1,23;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;08. 45-64 år;K;164244;1;0;0;0;0,00;0,00;0,61;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;08. 45-64 år;M;162275;3;0;0;0;0,00;0,00;1,85;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;09. 65-74 år;Alle;120186;3;0;0;0;0,00;0,00;2,50;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;09. 65-74 år;K;62732;2;0;0;0;0,00;0,00;3,19;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;09. 65-74 år;M;57454;1;0;0;0;0,00;0,00;1,74;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;10. 75-84 år;Alle;44511;1;0;0;0;0,00;0,00;2,25;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;10. 75-84 år;K;25759;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;10. 75-84 år;M;18752;1;0;0;0;0,00;0,00;5,33;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;11. 85+ år;Alle;6468;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;11. 85+ år;K;4601;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;11. 85+ år;M;1867;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;Alle;Alle;1249490;23;0;0;0;0,00;0,00;1,84;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;Alle;K;627247;9;0;0;0;0,00;0,00;1,43;0,00;
RSV;2015/2016;2015-U40;1082;Midtjylland;Alle;M;622243;14;0;0;0;0,00;0,00;2,25;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;01. 0-5 måneder;Alle;2985;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;01. 0-5 måneder;K;1465;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;01. 0-5 måneder;M;1520;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;02. 6-11 måneder;Alle;2753;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;02. 6-11 måneder;K;1371;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;02. 6-11 måneder;M;1382;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;03. 1 år;Alle;5668;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;03. 1 år;K;2759;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;03. 1 år;M;2909;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;04. 2 år;Alle;5810;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;04. 2 år;K;2847;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;04. 2 år;M;2963;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;05. 3-5 år;Alle;18725;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;05. 3-5 år;K;9141;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;05. 3-5 år;M;9584;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;06. 6-14 år;Alle;62378;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;06. 6-14 år;K;30163;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;06. 6-14 år;M;32215;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;07. 15-44 år;Alle;214721;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;07. 15-44 år;K;103496;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;07. 15-44 år;M;111225;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;08. 45-64 år;Alle;153781;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;08. 45-64 år;K;77045;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;08. 45-64 år;M;76736;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;09. 65-74 år;Alle;60227;1;0;0;0;0,00;0,00;1,66;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;09. 65-74 år;K;31200;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;09. 65-74 år;M;29027;1;0;0;0;0,00;0,00;3,45;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;10. 75-84 år;Alle;22666;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;10. 75-84 år;K;12992;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;10. 75-84 år;M;9674;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;11. 85+ år;Alle;3266;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;11. 85+ år;K;2298;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;11. 85+ år;M;968;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;Alle;Alle;552980;1;0;0;0;0,00;0,00;0,18;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;Alle;K;274777;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1081;Nordjylland;Alle;M;278203;1;0;0;0;0,00;0,00;0,36;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;01. 0-5 måneder;Alle;4396;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;01. 0-5 måneder;K;2149;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;01. 0-5 måneder;M;2247;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;02. 6-11 måneder;Alle;4051;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;02. 6-11 måneder;K;1960;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;02. 6-11 måneder;M;2091;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;03. 1 år;Alle;8316;1;0;0;0;0,00;0,00;12,03;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;03. 1 år;K;3960;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;03. 1 år;M;4356;1;0;0;0;0,00;0,00;22,96;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;04. 2 år;Alle;8418;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;04. 2 år;K;4167;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;04. 2 år;M;4251;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;05. 3-5 år;Alle;27377;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;05. 3-5 år;K;13271;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;05. 3-5 år;M;14106;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;06. 6-14 år;Alle;90810;1;0;0;0;0,00;0,00;1,10;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;06. 6-14 år;K;43743;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;06. 6-14 år;M;47067;1;0;0;0;0,00;0,00;2,12;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;07. 15-44 år;Alle;283449;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;07. 15-44 år;K;139961;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;07. 15-44 år;M;143488;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;08. 45-64 år;Alle;234157;2;0;0;0;0,00;0,00;0,85;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;08. 45-64 år;K;118181;1;0;0;0;0,00;0,00;0,85;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;08. 45-64 år;M;115976;1;0;0;0;0,00;0,00;0,86;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;09. 65-74 år;Alle;92854;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;09. 65-74 år;K;49022;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;09. 65-74 år;M;43832;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;10. 75-84 år;Alle;32049;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;10. 75-84 år;K;18573;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;10. 75-84 år;M;13476;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;11. 85+ år;Alle;4160;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;11. 85+ år;K;2992;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;11. 85+ år;M;1168;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;Alle;Alle;790037;4;0;0;0;0,00;0,00;0,51;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;Alle;K;397979;1;0;0;0;0,00;0,00;0,25;0,00;
RSV;2015/2016;2015-U40;1085;Sjælland;Alle;M;392058;3;0;0;0;0,00;0,00;0,77;0,00;
RSV;2015/2016;2015-U40;1083;Syddanmark;01. 0-5 måneder;Alle;6344;2;1;1;0;0,50;15,76;31,53;15,76;
