"Sygdom";"Regionskode";"Region";"Aldersgruppe";"Køn";"Antal borgere";"Antal testede personer";"Antal Bekræftede tilfælde";"Antal nye indlæggelser";"Antal døde";"Positivprocent";"Bekræftede tilfælde pr. 100.000 borgere";"Testede personer pr. 100.000 borgere";"Nye indlæggelser pr. 100.000 borgere";"timestamp_2025-07-08T11:25:03.061"
RSV;1082;Midtjylland;04. 2 år;M;7315;1;0;0;0;0,00;0,00;13,67;0,00;
RSV;1082;Midtjylland;05. 3-5 år;Alle;45143;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;1082;Midtjylland;05. 3-5 år;K;21927;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;1082;Midtjylland;05. 3-5 år;M;23216;0;0;0;0;0,00;0,00;0,00;0,00;
RSV;1082;Midtjylland;06. 6-14 år;Alle;132619;2;0;0;0;0,00;0,00;1,51;0,00;
RSV;1082;Midtjylland;06. 6-14 år;K;64573;1;0;0;0;0,00;0,00;1,55;0,00;
RSV;1082;Midtjylland;06. 6-14 år;M;68046;1;0;0;0;0,00;0,00;1,47;0,00;
RSV;1082;Midtjylland;07. 15-44 år;Alle;524716;17;0;0;0;0,00;0,00;3,24;0,00;
RSV;1082;Midtjylland;07. 15-44 år;K;257854;8;0;0;0;0,00;0,00;3,10;0,00;
RSV;1082;Midtjylland;07. 15-44 år;M;266862;9;0;0;0;0,00;0,00;3,37;0,00;
RSV;1082;Midtjylland;08. 45-64 år;Alle;345270;15;0;0;0;0,00;0,00;4,34;0,00;
RSV;1082;Midtjylland;08. 45-64 år;K;173121;8;0;0;0;0,00;0,00;4,62;0,00;
RSV;1082;Midtjylland;08. 45-64 år;M;172149;7;0;0;0;0,00;0,00;4,07;0,00;
RSV;1082;Midtjylland;09. 65-74 år;Alle;143792;10;0;0;0;0,00;0,00;6,95;0,00;
RSV;1082;Midtjylland;09. 65-74 år;K;73586;6;0;0;0;0,00;0,00;8,15;0,00;
RSV;1082;Midtjylland;09. 65-74 år;M;70206;4;0;0;0;0,00;0,00;5,70;0,00;
RSV;1082;Midtjylland;10. 75-84 år;Alle;107063;12;0;0;0;0,00;0,00;11,21;0,00;
RSV;1082;Midtjylland;10. 75-84 år;K;56934;3;0;0;0;0,00;0,00;5,27;0,00;
RSV;1082;Midtjylland;10. 75-84 år;M;50129;9;0;0;0;0,00;0,00;17,95;0,00;
RSV;1082;Midtjylland;11. 85+ år;Alle;33151;6;0;0;0;0,00;0,00;18,10;0,00;
RSV;1082;Midtjylland;11. 85+ år;K;20286;4;0;0;0;0,00;0,00;19,72;0,00;
RSV;1082;Midtjylland;11. 85+ år;M;12865;2;0;0;0;0,00;0,00;15,55;0,00;
RSV;1082;Midtjylland;Alle;Alle;1373514;69;0;0;0;0,00;0,00;5,02;0,00;
