"Dato";"Sidste opdatering";"Sygdom";"Sæson";"Regionskode";"Region";"Aldersgruppe";"Køn";"Antal borgere";"Antal førstegangstestede personer";"Antal tests";"Antal Bekræftede tilfælde";"Antal nye indlæggelser";"Antal døde";"Positivprocent";"Incidens";"Testrate";"Indlæggelsesrate";"timestamp_2026-02-24T12:52:02.349"
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;04. 2 år;Alle;6061;29;36;8;7;0;0,28;131,99;478,47;115,49;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;04. 2 år;K;3028;13;16;4;4;0;0,31;132,10;429,33;132,10;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;04. 2 år;M;3033;16;20;4;3;0;0,25;131,88;527,53;98,91;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;05. 3-5 år;Alle;17762;24;36;6;5;0;0,25;33,78;135,12;28,15;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;05. 3-5 år;K;8669;12;20;4;4;0;0,33;46,14;138,42;46,14;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;05. 3-5 år;M;9093;12;16;2;1;0;0,17;21,99;131,97;11,00;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;06. 6-14 år;Alle;57926;31;34;0;0;0;0,00;0,00;53,52;0,00;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;06. 6-14 år;K;28128;16;16;0;0;0;0,00;0,00;56,88;0,00;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;06. 6-14 år;M;29798;15;18;0;0;0;0,00;0,00;50,34;0,00;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;07. 15-44 år;Alle;213031;295;304;5;4;0;0,02;2,35;138,48;1,88;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;07. 15-44 år;K;102278;191;198;2;1;0;0,01;1,96;186,75;0,98;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;07. 15-44 år;M;110753;104;106;3;3;0;0,03;2,71;93,90;2,71;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;08. 45-64 år;Alle;156091;384;403;4;1;0;0,01;2,56;246,01;0,64;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;08. 45-64 år;K;77863;204;214;2;0;0;0,01;2,57;262,00;0,00;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;08. 45-64 år;M;78228;180;189;2;1;0;0,01;2,56;230,10;1,28;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;09. 65-74 år;Alle;68420;246;276;3;2;0;0,01;4,38;359,54;2,92;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;09. 65-74 år;K;34712;104;105;2;2;0;0,02;5,76;299,61;5,76;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;09. 65-74 år;M;33708;142;171;1;0;0;0,01;2,97;421,26;0,00;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;10. 75-84 år;Alle;39198;207;228;1;1;0;0,00;2,55;528,09;2,55;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;10. 75-84 år;K;21322;88;99;0;0;0;0,00;0,00;412,72;0,00;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;10. 75-84 år;M;17876;119;129;1;1;0;0,01;5,59;665,70;5,59;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;11. 85+ år;Alle;9739;103;108;0;0;0;0,00;0,00;1057,60;0,00;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;11. 85+ år;K;6224;53;56;0;0;0;0,00;0,00;851,54;0,00;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;11. 85+ år;M;3515;50;52;0;0;0;0,00;0,00;1422,48;0,00;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;Alle;Alle;580297;1695;1848;222;179;2;0,13;38,26;292,09;30,85;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;Alle;K;288060;840;894;96;74;1;0,11;33,33;291,61;25,69;
2026-02-24;2026-02-17;RSV;2019/2020;1081;Nordjylland;Alle;M;292237;855;954;126;105;1;0,15;43,12;292,57;35,93;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;01. 0-5 måneder;Alle;3892;443;522;183;106;0;0,41;4701,95;11382,32;2723,54;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;01. 0-5 måneder;K;1896;190;221;86;53;0;0,45;4535,86;10021,10;2795,36;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;01. 0-5 måneder;M;1996;253;301;97;53;0;0,38;4859,72;12675,35;2655,31;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;02. 6-11 måneder;Alle;4309;284;329;113;45;0;0,40;2622,42;6590,86;1044,33;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;02. 6-11 måneder;K;2084;106;131;38;14;0;0,36;1823,42;5086,37;671,79;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;02. 6-11 måneder;M;2225;178;198;75;31;0;0,42;3370,79;8000,00;1393,26;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;03. 1 år;Alle;8362;483;547;177;46;0;0,37;2116,72;5776,13;550,11;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;03. 1 år;K;4090;218;244;82;22;0;0,38;2004,89;5330,07;537,90;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;03. 1 år;M;4272;265;303;95;24;0;0,36;2223,78;6203,18;561,80;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;04. 2 år;Alle;8623;205;235;56;17;0;0,27;649,43;2377,36;197,15;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;04. 2 år;K;4202;85;89;23;6;0;0,27;547,36;2022,85;142,79;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;04. 2 år;M;4421;120;146;33;11;0;0,28;746,44;2714,32;248,81;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;05. 3-5 år;Alle;25908;330;365;40;6;0;0,12;154,39;1273,74;23,16;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;05. 3-5 år;K;12469;169;186;21;2;0;0,12;168,42;1355,36;16,04;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;05. 3-5 år;M;13439;161;179;19;4;0;0,12;141,38;1198,01;29,76;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;06. 6-14 år;Alle;86300;540;570;16;3;0;0,03;18,54;625,72;3,48;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;06. 6-14 år;K;42041;245;258;9;1;0;0,04;21,41;582,76;2,38;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;06. 6-14 år;M;44259;295;312;7;2;0;0,02;15,82;666,53;4,52;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;07. 15-44 år;Alle;272964;1729;1884;33;7;0;0,02;12,09;633,42;2,56;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;07. 15-44 år;K;133361;1001;1071;22;6;0;0,02;16,50;750,59;4,50;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;07. 15-44 år;M;139603;728;813;11;1;0;0,02;7,88;521,48;0,72;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;08. 45-64 år;Alle;242936;1974;2246;51;23;1;0,03;20,99;812,56;9,47;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;08. 45-64 år;K;122153;1057;1209;26;10;1;0,02;21,28;865,31;8,19;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;08. 45-64 år;M;120783;917;1037;25;13;0;0,03;20,70;759,21;10,76;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;09. 65-74 år;Alle;103523;1332;1530;42;23;2;0,03;40,57;1286,67;22,22;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;09. 65-74 år;K;53723;601;682;26;14;1;0,04;48,40;1118,70;26,06;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;09. 65-74 år;M;49800;731;848;16;9;1;0,02;32,13;1467,87;18,07;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;10. 75-84 år;Alle;59015;1223;1395;29;23;3;0,02;49,14;2072,35;38,97;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;10. 75-84 år;K;32238;589;665;17;14;2;0,03;52,73;1827,04;43,43;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;10. 75-84 år;M;26777;634;730;12;9;1;0,02;44,81;2367,70;33,61;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;11. 85+ år;Alle;12693;512;561;20;18;7;0,04;157,57;4033,72;141,81;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;11. 85+ år;K;8374;270;301;14;12;4;0,05;167,18;3224,27;143,30;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;11. 85+ år;M;4319;242;260;6;6;3;0,02;138,92;5603,15;138,92;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;Alle;Alle;828525;9055;10184;760;317;13;0,08;91,73;1092,91;38,26;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;Alle;K;416631;4531;5057;364;154;8;0,08;87,37;1087,53;36,96;
2026-02-24;2026-02-17;RSV;2019/2020;1085;Sjælland;Alle;M;411894;4524;5127;396;163;5;0,09;96,14;1098,34;39,57;
2026-02-24;2026-02-17;RSV;2019/2020;1083;Syddanmark;01. 0-5 måneder;Alle;5879;628;712;252;169;0;0,40;4286,44;10682,09;2874,64;
2026-02-24;2026-02-17;RSV;2019/2020;1083;Syddanmark;01. 0-5 måneder;K;2866;246;278;108;67;0;0,44;3768,32;8583,39;2337,75;
2026-02-24;2026-02-17;RSV;2019/2020;1083;Syddanmark;01. 0-5 måneder;M;3013;382;434;144;102;0;0,38;4779,29;12678,39;3385,33;
2026-02-24;2026-02-17;RSV;2019/2020;1083;Syddanmark;02. 6-11 måneder;Alle;6464;270;302;113;53;0;0,42;1748,14;4176,98;819,93;
2026-02-24;2026-02-17;RSV;2019/2020;1083;Syddanmark;02. 6-11 måneder;K;3135;113;129;44;20;0;0,39;1403,51;3604,47;637,96;
