"Uge";"Aldersgruppe";"Testede pr. 100.000 borgere";"Positive pr. 100.000 borgere";"Nye indlæggelser pr. 100.000 borgere";"Antal testede";"Antal positive";"Positiv procent";"timestamp_2026-09-01T11:40:01.667"
2026-U08;65-79;193;3;2,3;1756;26;1,5;
2026-U08;80+;409;4;3,6;1477;15;1,0;
2026-U09;00-02;245;4;0,6;430;7;1,6;
2026-U09;03-05;67;2;0,0;125;3;2,4;
2026-U09;06-11;29;0;0,0;110;1;0,9;
2026-U09;12-15;22;0;0,0;56;0;0,0;
2026-U09;16-19;36;1;0,0;102;2;2,0;
2026-U09;20-39;40;0;0,0;637;3;0,5;
2026-U09;40-64;73;0;0,3;1367;8;0,6;
2026-U09;65-79;172;2;1,4;1563;16;1,0;
2026-U09;80+;382;4;2,5;1378;14;1,0;
2026-U10;00-02;250;3;1,1;438;5;1,1;
2026-U10;03-05;51;1;0,0;95;1;1,1;
2026-U10;06-11;23;1;0,0;88;2;2,3;
2026-U10;12-15;24;0;0,0;60;0;0,0;
2026-U10;16-19;33;0;0,0;93;0;0,0;
2026-U10;20-39;32;0;0,0;507;2;0,4;
2026-U10;40-64;57;1;0,3;1073;11;1,0;
2026-U10;65-79;133;1;0,7;1208;9;0,8;
2026-U10;80+;302;2;2,2;1095;8;0,7;
2026-U11;00-02;200;4;1,1;350;7;2,0;
2026-U11;03-05;36;0;0,0;68;0;0,0;
2026-U11;06-11;26;0;0,0;97;1;1,0;
2026-U11;12-15;17;0;0,0;44;0;0,0;
2026-U11;16-19;25;0;0,0;70;0;0,0;
2026-U11;20-39;27;0;0,0;420;3;0,7;
2026-U11;40-64;52;0;0,2;976;6;0,6;
2026-U11;65-79;129;1;0,7;1170;8;0,7;
2026-U11;80+;270;2;2,2;977;9;0,9;
2026-U12;00-02;180;2;0,0;315;3;1,0;
2026-U12;03-05;36;0;0,0;67;0;0,0;
2026-U12;06-11;18;0;0,3;68;1;1,5;
2026-U12;12-15;21;0;0,0;54;0;0,0;
2026-U12;16-19;24;0;0,0;69;0;0,0;
2026-U12;20-39;27;0;0,0;430;2;0,5;
2026-U12;40-64;49;0;0,1;917;3;0,3;
2026-U12;65-79;114;0;0,2;1040;3;0,3;
2026-U12;80+;237;3;2,8;860;12;1,4;
2026-U13;00-02;167;1;0,0;292;1;0,3;
2026-U13;03-05;21;0;0,0;39;0;0,0;
2026-U13;06-11;17;0;0,0;65;0;0,0;
2026-U13;12-15;22;0;0,0;56;0;0,0;
2026-U13;16-19;19;1;0,4;53;2;3,8;
2026-U13;20-39;25;0;0,0;390;0;0,0;
2026-U13;40-64;43;0;0,2;807;6;0,7;
2026-U13;65-79;109;1;0,3;995;6;0,6;
2026-U13;80+;207;1;0,8;750;3;0,4;
2026-U14;00-02;125;1;0,0;219;1;0,5;
2026-U14;03-05;20;1;0,0;37;1;2,7;
2026-U14;06-11;10;0;0,3;39;1;2,6;
2026-U14;12-15;6;0;0,0;16;0;0,0;
2026-U14;16-19;11;0;0,0;32;0;0,0;
2026-U14;20-39;15;0;0,1;232;5;2,2;
2026-U14;40-64;34;0;0,1;635;2;0,3;
2026-U14;65-79;91;1;0,4;831;8;1,0;
2026-U14;80+;207;1;0,8;751;2;0,3;
2026-U15;00-02;97;1;0,6;170;1;0,6;
2026-U15;03-05;16;0;0,0;29;0;0,0;
2026-U15;06-11;8;0;0,0;29;0;0,0;
2026-U15;12-15;14;0;0,0;36;0;0,0;
2026-U15;16-19;13;0;0,0;37;1;2,7;
2026-U15;20-39;18;0;0,0;280;1;0,4;
2026-U15;40-64;35;0;0,1;650;6;0,9;
2026-U15;65-79;88;1;0,9;796;9;1,1;
2026-U15;80+;185;2;1,4;674;7;1,0;
2026-U16;00-02;86;2;0,0;150;3;2,0;
2026-U16;03-05;17;1;0,5;32;1;3,1;
2026-U16;06-11;7;0;0,0;25;0;0,0;
2026-U16;12-15;14;0;0,0;35;0;0,0;
2026-U16;16-19;19;0;0,0;55;0;0,0;
2026-U16;20-39;19;0;0,1;305;2;0,7;
2026-U16;40-64;32;0;0,1;609;3;0,5;
2026-U16;65-79;79;1;0,4;719;7;1,0;
2026-U16;80+;181;2;1,4;658;7;1,1;
2026-U17;00-02;97;0;0,0;170;0;0,0;
2026-U17;03-05;17;0;0,0;31;0;0,0;
2026-U17;06-11;10;0;0,0;38;0;0,0;
2026-U17;12-15;13;0;0,0;34;0;0,0;
2026-U17;16-19;15;0;0,0;44;0;0,0;
2026-U17;20-39;16;0;0,1;251;1;0,4;
2026-U17;40-64;28;0;0,0;532;0;0,0;
2026-U17;65-79;71;0;0,0;644;3;0,5;
2026-U17;80+;153;1;0,8;556;3;0,5;
2026-U18;00-02;88;1;0,0;155;2;1,3;
2026-U18;03-05;15;0;0,0;28;0;0,0;
2026-U18;06-11;6;0;0,0;23;1;4,4;
2026-U18;12-15;8;0;0,0;21;0;0,0;
2026-U18;16-19;17;0;0,0;48;0;0,0;
2026-U18;20-39;16;0;0,0;257;1;0,4;
2026-U18;40-64;28;0;0,0;529;0;0,0;
2026-U18;65-79;67;0;0,1;608;4;0,7;
2026-U18;80+;134;0;0,0;489;0;0,0;
2026-U19;00-02;80;0;0,0;140;0;0,0;
2026-U19;03-05;14;0;0,0;26;0;0,0;
2026-U19;06-11;7;0;0,3;27;0;0,0;
2026-U19;12-15;8;0;0,0;20;0;0,0;
2026-U19;16-19;13;0;0,0;36;0;0,0;
2026-U19;20-39;14;0;0,0;225;1;0,4;
2026-U19;40-64;26;0;0,0;489;0;0,0;
2026-U19;65-79;59;0;0,1;537;4;0,7;
2026-U19;80+;127;1;1,4;465;4;0,9;
